wasm-vm virtio-gpu command trace v1
records=116 dropped=0
seq=0 command=GET_EDID(0x0000010a) response=RESP_OK_EDID(0x00001104) scanout=0 resource=- dimensions=1280x800 avail=1 used=1 head=0 len=1056
seq=65 command=SET_SCANOUT(0x00000103) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=0 dimensions=- avail=66 used=66 head=15 len=24
seq=66 command=RESOURCE_UNREF(0x00000102) response=RESP_OK_NODATA(0x00001100) scanout=- resource=4 dimensions=1280x800 avail=67 used=67 head=12 len=24
seq=67 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=68 used=68 head=12 len=24
seq=68 command=SET_SCANOUT(0x00000103) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=69 used=69 head=15 len=24
seq=69 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=70 used=70 head=17 len=24
seq=70 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=71 used=71 head=10 len=24
seq=71 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=72 used=72 head=8 len=24
seq=72 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=73 used=73 head=6 len=24
seq=73 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=74 used=74 head=3 len=24
seq=74 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=75 used=75 head=4 len=24
seq=75 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=76 used=76 head=0 len=24
seq=76 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=77 used=77 head=0 len=24
seq=77 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=78 used=78 head=4 len=24
seq=78 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=79 used=79 head=4 len=24
seq=79 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=80 used=80 head=0 len=24
seq=80 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=81 used=81 head=0 len=24
seq=81 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=82 used=82 head=4 len=24
seq=82 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=83 used=83 head=4 len=24
seq=83 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=84 used=84 head=0 len=24
seq=84 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=85 used=85 head=0 len=24
seq=85 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=86 used=86 head=4 len=24
seq=86 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=87 used=87 head=4 len=24
seq=87 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=88 used=88 head=0 len=24
seq=88 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=89 used=89 head=0 len=24
seq=89 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=90 used=90 head=4 len=24
seq=90 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=91 used=91 head=4 len=24
seq=91 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=92 used=92 head=0 len=24
seq=92 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=93 used=93 head=0 len=24
seq=93 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=94 used=94 head=4 len=24
seq=94 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=95 used=95 head=4 len=24
seq=95 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=96 used=96 head=0 len=24
seq=96 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=97 used=97 head=0 len=24
seq=97 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=98 used=98 head=4 len=24
seq=98 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=99 used=99 head=4 len=24
seq=99 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=100 used=100 head=0 len=24
seq=100 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=101 used=101 head=0 len=24
seq=101 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=102 used=102 head=4 len=24
seq=102 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=103 used=103 head=4 len=24
seq=103 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=104 used=104 head=0 len=24
seq=104 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=105 used=105 head=0 len=24
seq=105 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=106 used=106 head=4 len=24
seq=106 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=107 used=107 head=4 len=24
seq=107 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=108 used=108 head=0 len=24
seq=108 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=109 used=109 head=0 len=24
seq=109 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=110 used=110 head=4 len=24
seq=110 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=111 used=111 head=4 len=24
seq=111 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=112 used=112 head=0 len=24
seq=112 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=113 used=113 head=0 len=24
seq=113 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=114 used=114 head=4 len=24
seq=114 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=115 used=115 head=4 len=24
seq=115 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=116 used=116 head=0 len=24
